Month,Year,Pool,Treatment,Quadrat ID,Biomass (g)
10,2022,2,,22,28.31
10,2022,U,,U2,66.11
10,2022,E,,E6,10.91
10,2022,2,,21,11.65
10,2022,3,,34,45.74
10,2022,E,,E1,46.47
10,2022,2,,25,10.35
10,2022,3,,32,38.95
10,2022,2,,26,15.98
10,2022,3,,35,18.98
10,2022,8,,84,50.94
10,2022,U,,U6,41.98
10,2022,8,,81,53.15
10,2022,3,,36,14.25
10,2022,8,,82,44
10,2022,2,,24,41.39
10,2022,8,,83,10.67
10,2022,3,,31,61.75
10,2022,8,,86,48.13
10,2022,8,,85,50.23
10,2022,K,,K1,19.6
10,2022,J,,J6,27.78
10,2022,G,,G2,25.32
10,2022,M,,M5,19.48
10,2022,G,,G5,38.6
10,2022,E,,E4,28.88
10,2022,E,,E3,21.6
10,2022,U,,U3,32.1
10,2022,G,,G3,46.04
10,2022,U,,U5,15.21
10,2022,U,,U1,35.46
10,2022,2,,23,36.92
10,2022,3,,33,9.63
10,2022,G,,G4,56.01
10,2022,J,,J2,43.39
10,2022,J,,J1,19.94
10,2022,G,,G1,30.6
10,2022,J,,J4,35.22
10,2022,G,,G6,9.25
10,2022,J,,J5,11.68
10,2022,E,,E5,13.89
10,2022,E,,E2,27.14
10,2022,U,,U4,58.25
10,2022,M,,M2,52.32
10,2022,M,,M1,39.71
10,2022,J,,J3,37.51
10,2022,K,,K5,14.84
10,2022,K,,K2,37.83
10,2022,M,,M4,33.25
10,2022,M,,M6,13.37
10,2022,K,,K6,18.78
10,2022,H,,H3,10.07
10,2022,H,,H5,16.26
10,2022,M,,M3,42.87
10,2022,H,,H6,11.9
10,2022,K,,K4,24.11
10,2022,H,,H4,4.51
10,2022,H,,H2,44.45
10,2022,H,,H1,16.63
10,2022,K,,K3,10.9
9,2022,5,,5T4,136.11
9,2022,5,,5 E3,242.16
9,2022,5,,5 E4,200.76
9,2022,5,,5T2,120.31
9,2022,2,,25,18.68
9,2022,2,,24,27.97
9,2022,2,,23,23.51
9,2022,2,,26,33.18
9,2022,3,,36,30.05
9,2022,5,,5 E6,269.02
9,2022,2,,22,29.76
9,2022,2,,21,24.98
9,2022,5,,5T1,106.36
9,2022,8,,81,54.99
9,2022,8,,86,34.99
9,2022,8,,85,7.01
9,2022,5,,5T6,212.98
9,2022,8,,82,62.37
9,2022,3,,32,31.02
9,2022,3,,31,23.69
9,2022,5,,5 E5,266.66
9,2022,3,,33,25.62
9,2022,3,,34,42.88
9,2022,5,,5T5,194.38
9,2022,3,,35,18.27
9,2022,5,,5 E2,156.84
9,2022,5,,5T3,119.56
9,2022,5,,5 E1,187.11
9,2022,W,,WE2,214.46
9,2022,W,,WT3,111.23
9,2022,W,,WE3,191.42
9,2022,W,,WE1,212.48
9,2022,W,,WT6,145.18
9,2022,W,,WE4,85.58
9,2022,W,,WT2,68.61
9,2022,W,,WT1,106.21
9,2022,W,,WE5,212.85
9,2022,8,,84,21.89
9,2022,8,,83,13.32
9,2022,J,,J5,36.84
9,2022,H,,H1,31.04
9,2022,J,,J6,16.64
9,2022,M,,M3,26.89
9,2022,K,,K3,23.75
9,2022,J,,J3,24.12
9,2022,G,,G4,8.5
9,2022,M,,M6,7.35
9,2022,G,,G1,14.3
9,2022,J,,J1,24.08
9,2022,M,,M4,33.63
9,2022,L,,LT3,177.53
9,2022,M,,M1,10.71
9,2022,W,,WT5,193.35
9,2022,W,,WE6,116.02
9,2022,G,,G2,39.9
9,2022,G,,G6,12.04
9,2022,K,,K4,26.65
9,2022,K,,K5,17.7
9,2022,W,,WT4,63.94
9,2022,J,,J2,14.22
9,2022,L,,LE2,183.33
9,2022,U,,U4,33.81
9,2022,I,,IT5,186.28
9,2022,M,,M2,17.1
9,2022,K,,K1,20.92
9,2022,H,,H3,7.94
9,2022,K,,K2,30.88
9,2022,L,,LE1,113.62
9,2022,L,,LT2,72.41
9,2022,M,,M5,29.19
9,2022,J,,J4,32.07
9,2022,H,,H2,5.53
9,2022,H,,H6,24.15
9,2022,H,,H4,14.14
9,2022,G,,G3,22.66
9,2022,K,,K6,11.52
9,2022,H,,H5,8.12
9,2022,G,,G5,12.98
9,2022,L,,LE2,145.08
9,2022,L,,LE3,177.44
9,2022,L,,LT6,153.21
9,2022,U,,U5,45.43
9,2022,E,,E3,36.14
9,2022,I,,IE2,196.55
9,2022,L,,LT4,147.29
9,2022,I,,IE6,145.38
9,2022,I,,IE3,175.64
9,2022,E,,E4,17.21
9,2022,U,,U2,31.33
9,2022,L,,LE4,123.47
9,2022,U,,U3,35.36
9,2022,I,,IT4,228.59
9,2022,L,,LT1,165.75
9,2022,4,,4 E1,89.93
9,2022,4,,4 E3,126.27
9,2022,4,,4 E4,179.71
9,2022,U,,U6,17.58
9,2022,E,,E2,26.82
9,2022,U,,U1,12.29
9,2022,E,,E6,28.09
9,2022,E,,E5,22.1
9,2022,4,,4 E6,110.94
9,2022,U,,U5,182.5
9,2022,4,,4T2,81.42
9,2022,4,,4 E5,288.81
9,2022,E,,E1,33.59
9,2022,4,,4T5,104.92
9,2022,L,,LE5,248.19
9,2022,L,,LE6,272.76
9,2022,L,,LT5,152.38
9,2022,4,,4 E4,139.33
9,2022,I,,IE1,170.9
9,2022,I,,IE4,128.26
9,2022,4,,4T6,150.39
9,2022,4,,4T4,209.5
9,2022,4,,4T1,59.31
9,2022,I,,IE5,143.63
9,2022,I,,IT6,184.92
9,2022,I,,IT3,195.46
9,2022,4,,4 E2,218.41
9,2022,I,,IT2,244.26
9,2022,I,,IT1,194.03
10,2021,K,,K1,36.76
10,2021,J,,J6,41.59
10,2021,K,,K2,36.93
10,2021,M,,M1,22.97
10,2021,K,,K3,13.41
10,2021,G,,G3,23.46
10,2021,G,,G5,35.7
10,2021,J,,J2,21.02
10,2021,J,,J3,29.29
10,2021,K,,K5,15.89
10,2021,K,,K4,9.37
10,2021,G,,G4,30.64
10,2021,J,,J5,4.85
10,2021,M,,M2,38.86
10,2021,M,,M5,46.63
10,2021,G,,G2,25.37
10,2021,G,,G1,27.95
10,2021,M,,M6,4.9
10,2021,K,,K6,5.89
10,2021,H,,H6,12.78
10,2021,M,,M3,41.31
10,2021,U,,U1,38.93
10,2021,E,,E2,23.58
10,2021,E,,E4,24.1
10,2021,U,,U3,31.68
10,2021,U,,U2,68.2
10,2021,E,,E1,35.4
10,2021,U,,U5,33.62
10,2021,E,,E6,30.86
10,2021,E,,E5,18.67
10,2021,E,,E3,33.29
10,2021,U,,U6,17.24
10,2021,U,,U4,21
10,2021,8,,81,68.78
10,2021,2,,26,46.64
10,2021,2,,21,8.17
10,2021,2,,22,23.77
10,2021,2,,24,41.34
10,2021,2,,25,70.12
10,2021,3,,35,37.54
10,2021,3,,33,17.96
10,2021,3,,31,17.95
10,2021,8,,82,19.27
10,2021,3,,36,41.04
10,2021,3,,32,8.21
10,2021,3,,34,25.69
10,2021,2,,23,26.72
10,2021,H,,H2,27.61
10,2021,H,,H1,19.8
10,2021,8,,86,19.26
10,2021,8,,84,7.76
10,2021,H,,H5,31.05
10,2021,8,,86,10.81
10,2021,H,,H3,31.71
10,2021,8,,83,17.37
10,2021,J,,J4,41.24
10,2021,M,,M4,38.51
10,2021,H,,H4,22.6
10,2021,J,,J1,37.47
10,2021,G,,G6,39.89
9,2021,L,,LT1,78.4
9,2021,I,,IE5,175.28
9,2021,L,,LT6,106.932
9,2021,L,,LE1,124.85
9,2021,I,,IT5,243.73
9,2021,L,,LT2,50.23
9,2021,L,,LT3,87.55
9,2021,I,,IE2,125.83
9,2021,L,,LE4,91.46
9,2021,I,,IT3,187.87
9,2021,L,,LE3,149.76
9,2021,I,,IT4,183.89
9,2021,I,,IT1,108.28
9,2021,L,,LT5,146.64
9,2021,L,,LT4,48.39
9,2021,L,,LE6,216.4
9,2021,L,,LE5,231.85
9,2021,L,,LE2,86.51
9,2021,W,,WE1,146.35
9,2021,H,,H5,50.01
9,2021,H,,H3,17.93
9,2021,H,,H4,21.23
9,2021,K,,K2,18.65
9,2021,K,,K1,32.44
9,2021,I,,IT2,98.38
9,2021,I,,IE3,120.79
9,2021,I,,IE1,154.43
9,2021,I,,IE6,152.22
9,2021,H,,H2,13.85
9,2021,H,,H1,23.26
9,2021,K,,K5,25.35
9,2021,K,,K6,18.69
9,2021,K,,K4,40.87
9,2021,H,,H6,16.28
9,2021,W,,WE2,301.99
9,2021,K,,K3,20.78
9,2021,I,,IE4,140.23
9,2021,U,,U4,31.68
9,2021,U,,U2,22.51
9,2021,W,,WT5,66.26
9,2021,U,,U5,14.87
9,2021,G,,G1,18.77
9,2021,J,,J2,41.33
9,2021,M,,M4,30.16
9,2021,J,,J6,48.28
9,2021,J,,J1,28.98
9,2021,M,,M2,12.28
9,2021,M,,M6,16.08
9,2021,J,,J3,19.4
9,2021,G,,G5,30.78
9,2021,G,,G4,28.59
9,2021,J,,J5,18.95
9,2021,J,,J4,17.95
9,2021,M,,M3,27.82
9,2021,U,,U1,12.45
9,2021,U,,U3,23.93
9,2021,W,,WE3,299.92
9,2021,W,,WT3,116.14
9,2021,M,,M1,11.71
9,2021,M,,M5,29.5
9,2021,G,,G6,24.72
9,2021,G,,G3,53.36
9,2021,G,,G2,49
9,2021,W,,WE5,78.96
9,2021,W,,WT2,89.44
9,2021,W,,WT4,54.29
9,2021,W,,WE4,81.31
9,2021,W,,WT6,73.72
9,2021,W,,WE6,127.58
9,2021,W,,WT1,64
9,2021,3,,35,24.17
9,2021,E,,E6,29.18
9,2021,E,,E5,21.81
9,2021,E,,E4,45.92
9,2021,3,,33,15.89
9,2021,8,,83,21.97
9,2021,3,,34,19.8
9,2021,E,,E2,12
9,2021,E,,E3,33
9,2021,3,,36,15.72
9,2021,3,,31,8.18
9,2021,8,,81,45.54
9,2021,3,,32,18.41
9,2021,8,,84,13.32
9,2021,8,,86,23.72
9,2021,E,,E1,31.6
9,2021,2,,21,14.73
9,2021,2,,24,36.92
9,2021,8,,85,5.47
9,2021,8,,82,22.13
9,2021,2,,23,23.91
9,2021,2,,22,47.61
9,2021,2,,25,23.65
9,2021,2,,26,16.11
9,2021,5,,5 E1,168.94
9,2021,5,,5T5,39.51
9,2021,5,,5T5,29.57
9,2021,5,,5T3,31.63
9,2021,5,,5 E6,57.28
9,2021,5,,5 E2,96.61
9,2021,5,,5T4,115.99
9,2021,5,,5 E5,96.1
9,2021,5,,5 E3,218.79
9,2021,5,,5 E4,207.33
9,2021,5,,5T1,99.32
9,2021,5,,5T2,73.55
9,2021,4,,4T3,57.31
9,2021,4,,4 E6,96.69
9,2021,4,,4 E2,133.62
9,2021,4,,4 E5,85.54
9,2021,4,,4 E4,131.98
9,2021,4,,4T1,44.73
9,2021,4,,4T6,76.31
9,2021,U,,U6,20.02
9,2021,4,,4 E3,163.77
9,2021,4,,4 E1,91.79
9,2021,4,,4T2,45.39
9,2021,4,,4T5,54.7
9,2021,4,,4T4,76.44
12,2020,2,,22,19.66
12,2020,2,,23,31.32
12,2020,2,,26,32.62
12,2020,2,,25,23.86
12,2020,U,,U2,17.37
12,2020,U,,U3,12.54
12,2020,U,,U4,22.94
12,2020,2,,21,34.34
12,2020,3,,32,24.17
12,2020,3,,31,25.11
12,2020,8,,81,18.78
12,2020,3,,33,27.68
12,2020,8,,82,16.68
12,2020,8,,84,44.71
12,2020,8,,86,11.75
12,2020,2,,24,23.4
12,2020,3,,35,25.51
12,2020,3,,36,23.86
12,2020,3,,34,20.47
12,2020,G,,G1,21.08
12,2020,G,,G4,45.97
12,2020,G,,G5,22.26
12,2020,M,,M3,28.95
12,2020,M,,M2,36.82
12,2020,G,,G2,20.12
12,2020,M,,M1,12.32
12,2020,G,,G6,22.03
12,2020,G,,G3,30.04
12,2020,E,,E 5,30.53
12,2020,U,,U5,30.35
12,2020,E,,E 4,14.9
12,2020,E,,E 1,12.05
12,2020,E,,E 3,19.95
12,2020,E,,E 2,27.59
12,2020,E,,E 6,22.16
12,2020,U,,U1,18.84
12,2020,8,,83,26
12,2020,U,,U6,18.31
12,2020,8,,85,26.14
12,2020,H,,H3,10.35
12,2020,H,,H4,31.71
12,2020,H,,H6,27.11
12,2020,K,,K5,15.44
12,2020,J,,J5,15.53
12,2020,H,,H1,32.02
12,2020,H,,H2,33.9
12,2020,K,,K4,18.79
12,2020,K,,K3,11.7
12,2020,K,,K5,27.06
12,2020,M,,M4,44.5
12,2020,K,,K1,15.33
12,2020,K,,K2,23.18
12,2020,J,,J2,11.25
12,2020,J,,J6,21.11
12,2020,J,,J1,9.23
12,2020,H,,H5,24.08
12,2020,J,,J4,20.81
12,2020,M,,M6,34.07
12,2020,M,,M5,8.44
12,2020,J,,J3,21.32
10,2020,2,,2 E1,19.37
10,2020,U,,U6,39.06
10,2020,E,,E1,14.91
10,2020,G,,G2,43.13
10,2020,2,,21,27.13
10,2020,3,,36,22.23
10,2020,3,,34,13.65
10,2020,E,,E6,36.52
10,2020,U,,U1,42.04
10,2020,G,,G6,25.58
10,2020,U,,U2,36.24
10,2020,U,,U4,12.86
10,2020,8,,81,12.16
10,2020,2,,25,12.64
10,2020,2,,23,40.05
10,2020,8,,86,16.36
10,2020,8,,83,23.19
10,2020,3,,33,51.07
10,2020,3,,31,33.21
10,2020,8,,84,42.64
10,2020,3,,34,23.9
10,2020,G,,G5,23.68
10,2020,E,,E5,37.54
10,2020,E,,E6,13.08
10,2020,J,,J2,18.97
10,2020,8,,85,41.1
10,2020,E,,E2,36.7
10,2020,U,,U5,16.28
10,2020,G,,G3,25.26
10,2020,2,,26,33.68
10,2020,8,,82,25.75
10,2020,U,,U3,27.05
10,2020,2,,24,28.81
10,2020,G,,G4,21.33
10,2020,M,,M5,9.12
10,2020,M,,M1,34.26
10,2020,E,,E4,28.93
10,2020,G,,G1,31.71
10,2020,J,,J5,12.54
10,2020,M,,M4,20.31
10,2020,M,,M6,14.39
10,2020,E,,E3,16.81
10,2020,M,,M3,17.87
10,2020,K,,K1,22.2
10,2020,H,,H5,11.85
10,2020,J,,J3,12.85
10,2020,J,,J6,26.26
10,2020,J,,J1,16.77
10,2020,H,,H6,10.25
10,2020,K,,K4,12.71
10,2020,K,,K5,17.91
10,2020,K,,K6,8.16
10,2020,H,,H4,30.07
10,2020,3,,35,9.47
10,2020,H,,H3,23.01
10,2020,K,,K2,19.05
10,2020,H,,H1,19.56
10,2020,M,,M2,42.12
10,2020,H,,H2,21.76
10,2020,K,,K3,15.1
8,2020,5,,5 E2,270.41
8,2020,5,,5 E3,453.43
8,2020,5,,5 E6,255.06
8,2020,5,,5 E1,305.97
8,2020,5,,5T2,187.09
8,2020,5,,5T1,237.15
8,2020,5,,5 E4,321.07
8,2020,5,,5T6,199.27
8,2020,2,,21,26.66
8,2020,2,,26,32.5
8,2020,U,,U3,35.04
8,2020,5,,5 E5,168.9
8,2020,5,,5T5,111.38
8,2020,E,,E1,36.63
8,2020,U,,U6,50.28
8,2020,E,,E2,18.87
8,2020,E,,E5,30.39
8,2020,5,,5T4,474.54
8,2020,2,,22,11.42
8,2020,U,,U1,18.86
8,2020,E,,E3,21.17
8,2020,U,,U2,38.21
8,2020,L,,LE2,27.45
8,2020,I,,IE1,433.53
8,2020,5,,5T3,248.35
8,2020,5,,5 E4,408.19
8,2020,I,,IE2,300.8
8,2020,2,,23,42.11
8,2020,2,,24,34.1
8,2020,G,,G4,53.15
8,2020,U,,U5,28.2
8,2020,E,,E4,47.55
8,2020,G,,G3,103.99
8,2020,G,,G2,13.57
8,2020,L,,LE1,157.98
8,2020,L,,LT2,221.41
8,2020,L,,LE2,193.62
8,2020,L,,LE3,334.98
8,2020,L,,LT1,222.92
8,2020,2,,25,52.33
8,2020,U,,U4,22.68
8,2020,J,,J5,44.06
8,2020,G,,G5,21.06
8,2020,E,,E6,32.86
8,2020,J,,J1,38.21
8,2020,K,,K5,32.16
8,2020,M,,M6,19.93
8,2020,L,,LT3,279.21
8,2020,J,,J3,25.64
8,2020,L,,LE6,341.88
8,2020,I,,IT3,394.32
8,2020,K,,K6,30.13
8,2020,I,,IT6,162.13
8,2020,J,,J2,13.72
8,2020,M,,M2,16.18
8,2020,M,,M1,11.56
8,2020,J,,J4,64.51
8,2020,H,,H2,16.7
8,2020,L,,LT4,231.61
8,2020,L,,LE5,419.46
8,2020,L,,LT5,141.05
8,2020,I,,IT5,177.69
8,2020,I,,IE6,187.83
8,2020,I,,IE4,321.74
8,2020,G,,G6,13.55
8,2020,K,,K1,25.68
8,2020,K,,K3,38.33
8,2020,G,,G1,44.37
8,2020,K,,K2,41.46
8,2020,I,,IT1,197.31
8,2020,I,,IE5,216.11
8,2020,I,,IT2,196.94
8,2020,L,,LT6,145.31
8,2020,K,,K4,48.97
8,2020,L,,LE4,204.17
8,2020,W,,WE2,209.29
8,2020,H,,H5,18.26
8,2020,I,,IT4,412.89
8,2020,M,,M5,20.26
8,2020,I,,IE3,336.97
8,2020,H,,H6,19
8,2020,H,,H3,33.17
8,2020,W,,WE5,208.34
8,2020,W,,WE1,205.96
8,2020,M,,M3,50.96
8,2020,W,,WT6,235.13
8,2020,W,,WE2,306.94
8,2020,W,,WT5,265.19
8,2020,M,,M4,37.02
8,2020,W,,WE2,249.13
8,2020,W,,WE6,230.7
8,2020,W,,WE3,274.97
8,2020,W,,WT1,246.6
8,2020,W,,WE4,321.66
8,2020,W,,WT5,97.06
8,2020,W,,WE5,206.01
8,2020,W,,WT6,87.2
8,2020,W,,WE6,138.1
8,2020,W,,WE2,84.02
8,2020,4,,4 E3,185.63
8,2020,4,,4 E5,251.14
8,2020,H,,H4,37.44
8,2020,W,,WT2,204.1
8,2020,W,,WT3,272.21
8,2020,H,,H1,28.89
8,2020,W,,WE3,540.38
8,2020,8,,84,51.85
8,2020,3,,36,17.88
8,2020,4,,4 E4,145.03
8,2020,4,,4T3,101.81
8,2020,3,,35,9.05
8,2020,4,,4 E5,311.49
8,2020,W,,WT4,137.08
8,2020,8,,85,27.68
8,2020,4,,4T2,116.92
8,2020,4,,4 E3,196.5
8,2020,4,,4 E6,116.6
8,2020,3,,33,24.03
8,2020,8,,82,15.88
8,2020,4,,4T6,124.7
8,2020,4,,4 E4,108.29
8,2020,4,,4T5,225.74
8,2020,4,,4T4,162.8
8,2020,3,,32,30.97
8,2020,8,,81,12.44
8,2020,8,,86,13.5
8,2020,3,,34,32.6
8,2020,8,,83,31.63
8,2020,3,,31,31.31
8,2020,4,,4 E2,115.29
8,2020,3,,4 E1,111.94
8,2020,4,,4T1,59.83
10,2019,E,3,E2,23.09
10,2019,8,2,83,35.45
10,2019,E,3,E3,24.27
10,2019,3,3,33,41.79
10,2019,8,2,81,23.62
10,2019,8,2,86,33.26
10,2019,8,2,84,31.31
10,2019,8,2,85,12.87
10,2019,E,3,E4,20.62
10,2019,3,3,35,55.67
10,2019,3,3,32,24.57
10,2019,8,2,82,24.45
10,2019,2,3,26,42.5
10,2019,U,3,U1,43.58
10,2019,3,3,36,15.56
10,2019,2,3,21,37.68
10,2019,E,3,E1,31.37
10,2019,2,3,25,28.38
10,2019,G,2,G6,28.5
10,2019,G,2,G5,55.54
10,2019,H,2,H5,42.96
10,2019,K,3,K4,22.16
10,2019,K,3,K2,19.86
10,2019,H,2,H4,36.21
10,2019,2,3,23,57.69
10,2019,2,3,24,40.46
10,2019,K,3,K1,25.58
10,2019,2,3,22,41.51
10,2019,G,2,G1,37.84
10,2019,H,2,H3,65.42
10,2019,G,2,G3,55.41
10,2019,G,2,G2,32.75
10,2019,E,3,E6,42.39
10,2019,K,3,K6,33.02
10,2019,J,3,J6,21.4
10,2019,U,3,U3,32.22
10,2019,H,2,H1,3.83
10,2019,U,3,U5,31.85
10,2019,J,3,J4,16.93
10,2019,U,3,U4,35.89
10,2019,3,3,31,82.39
10,2019,U,3,U2,14.28
10,2019,H,2,H6,33.51
10,2019,K,3,K5,18.58
10,2019,3,3,34,32.05
10,2019,E,3,E5,32.63
10,2019,G,2,G4,22.08
10,2019,M,2,M1,27.48
10,2019,M,2,M4,21.69
10,2019,J,3,J2,29.25
10,2019,J,3,J1,48.37
10,2019,H,2,H2,34.37
10,2019,J,3,J3,73.63
10,2019,M,2,M2,32.23
10,2019,M,2,M3,36.54
10,2019,M,2,M5,56.71
10,2019,J,3,J5,22.22
10,2019,K,3,K3,16.49
10,2019,U,3,U6,11.96
10,2019,M,2,M6,30.02
9,2019,I,1,IE6,500.99
9,2019,I,1,IT4,287
9,2019,I,1,IE4,337.16
9,2019,I,1,IT6,407.38
9,2019,I,1,IE5,362.72
9,2019,I,1,IE1,459.05
9,2019,5,1,5T2,346.77
9,2019,W,1,WT6,203.42
9,2019,I,1,IT2,213.53
9,2019,W,1,WT6,326.96
9,2019,I,1,IE2,253.49
9,2019,W,1,WT6,106.82
9,2019,L,1,LT1,416.29
9,2019,G,2,G2,25.44
9,2019,3,2,34,27.77
9,2019,G,2,G1,30.96
9,2019,E,3,E4,16.19
9,2019,2,3,26,11.85
9,2019,2,3,25,42.11
9,2019,U,3,U4,50.25
9,2019,U,3,U1,62.61
9,2019,3,2,35,63.19
9,2019,E,3,E3,18.69
9,2019,E,3,E1,64.01
9,2019,5,1,5T3,254.08
9,2019,2,3,1,57.74
9,2019,3,2,33,20.25
9,2019,3,2,31,35.07
9,2019,3,2,36,57.37
9,2019,2,3,23,50.83
9,2019,U,3,U6,40.68
9,2019,G,2,G3,23.65
9,2019,G,2,G5,33.77
9,2019,3,2,32,42.29
9,2019,2,3,22,22.38
9,2019,E,3,E2,70.55
9,2019,E,3,E6,50.02
9,2019,U,3,U3,29.03
9,2019,G,2,G4,81.69
9,2019,U,3,U2,53.2
9,2019,G,2,G6,22.73
9,2019,E,3,E5,33.88
9,2019,2,3,24,36.19
9,2019,U,3,U5,34.74
9,2019,W,1,WE1,221.55
9,2019,W,1,WE2,267.87
9,2019,W,1,WT1,301.75
9,2019,W,1,WE1,441.34
9,2019,W,1,WT1,413.59
9,2019,W,1,WE4,289.41
9,2019,W,1,W??,459.94
9,2019,W,1,WT4,444.08
9,2019,H,2,H1,41.09
9,2019,H,2,H2,73.28
9,2019,I,1,IT5,255.94
9,2019,I,1,IT5,303.43
9,2019,L,1,LT4,219.31
9,2019,I,1,IE1,340.2
9,2019,L,1,LE3,250.79
9,2019,I,1,IT2,197.39
9,2019,L,1,LE2,261.25
9,2019,I,1,IE4,280.28
9,2019,L,1,LE1,257.24
9,2019,L,1,LE3,243.93
9,2019,H,2,H6,129.78
9,2019,M,2,M5,63.56
9,2019,M,2,M6,18.14
9,2019,M,2,M4,46.29
9,2019,M,1,M1,49.34
9,2019,H,2,H4,53.46
9,2019,L,1,LE4,213.02
9,2019,M,2,M2,40.12
9,2019,I,1,IE2,242.91
9,2019,M,2,M3,9.98
9,2019,I,1,IT1,354.06
9,2019,L,1,LE6,360.11
9,2019,J,3,J6,26.79
9,2019,K,3,K3,28.93
9,2019,K,3,K5,19.77
9,2019,J,3,J3,41.18
9,2019,K,3,K4,25
9,2019,L,1,LT5,223.25
9,2019,J,3,J4,40.56
9,2019,J,3,J5,81.93
9,2019,4,1,4T3,286.64
9,2019,J,3,J2,45.44
9,2019,K,3,K2,31.72
9,2019,L,1,LE5,507.73
9,2019,I,1,IE5,519.33
9,2019,I,1,IT4,606.25
9,2019,L,1,LT6,366.27
9,2019,L,1,LE4,155.45
9,2019,I,1,IT3,449.44
9,2019,4,1,4T3,295.83
9,2019,K,3,K6,38.96
9,2019,J,3,J1,41.25
9,2019,I,1,IE3,248.77
9,2019,4,1,4 E3,432.21
9,2019,4,1,4 E3,302.93
9,2019,K,3,K1,63.62
9,2019,4,3,4 E3,847.29
9,2019,4,3,4 E3,410.05
9,2019,5,1,5 E3,331.41
9,2019,5,1,5 E3,339.84
9,2019,5,1,5 E3,326.33
9,2019,W,1,WT3,326.47
9,2019,W,1,WE3,361.94
9,2019,I,1,IE3,107.83
9,2019,W,1,WT3,301.35
9,2019,W,1,WE3,526.22
9,2019,5,1,5 E3,243.97
9,2019,5,1,5T4,352.96
9,2019,5,1,5T6,350.63
9,2019,5?,1,5?,426.72
9,2019,5,1,5 E5,404.35
9,2019,5,1,5 E6,118.62
9,2019,5,1,5 E6,514.88
9,2019,4,3,4 E6,219.9
9,2019,4,3,4 E4,331.62
9,2019,4,3,4T1,241.52
9,2019,8,2,81,25.03
9,2019,8,2,84,50.43
9,2019,8,2,82,27.49
9,2019,8,2,83,40.06
9,2019,4,3,4 E1,254.04
9,2019,8,2,86,51.41
9,2019,8,2,85,36.96
9,2019,4,3,4T5,393.47
9,2019,4,3,4T4,395.12
9,2019,4,3,4 E1,428.17
9,2019,4,3,4 E1,370.85
9,2019,4,3,4 E4,239.49
9,2019,4,3,4 E2,216.98
9,2019,4,3,4 E2,468.2
9,2019,4,3,4 E5,790.68
9,2019,4,3,4 E6,338.93
9,2019,4,3,4 E6,702.37
9,2019,4,3,4 E2,328.96
9,2019,4,3,4T2,273.29
9,2019,4,3,4 E2,290.48
9,2019,4,3,4 E5,225.48
9,2019,5,1,5T5,257.94
9,2019,5,1,5 E2,491.03
9,2019,5,1,5 E1,377.53
9,2019,5,1,5 E1,335.91
9,2019,5,1,5 E4,427.34
9,2019,5,1,5 E2,406
9,2019,W,1,WT2,227.95
9,2019,5,1,5 E1,659.01
9,2019,W,1,WE2,252.32
9,2019,5,1,5 E4,487.05
9,2019,5,1,5T1,200.09
9,2019,W,1,WE1,415.69
9,2019,W,1,W?,272.46
9,2019,W,1,WE2,475.7
9,2019,W,1,WE6,332.72
9,2019,W,1,WE5,496.62
9,2019,W,1,WE6,300.53
9,2019,W,1,WT5,254.37
9,2019,W,1,WE4,277.3
9,2019,W,1,WT5,204.66